Industry_L1,Industry_L2,Advertiser
CMT,CMT C&M,AT&T
CMT,CMT C&M,Huawei
CMT,CMT C&M,CenturyLink
CMT,CMT C&M,Liberty Global
CMT,CMT C&M,U.S. Cellular
CMT,CMT C&M,Vodafone
CMT,CMT C&M,Telefonica
CMT,CMT C&M,Sprint
CMT,CMT C&M,Telstra
CMT,CMT C&M,The Walt Disney Company
CMT,CMT C&M,T-Mobile
CMT,CMT C&M,Verizon
CMT,CMT C&M,Walt Disney
CMT,CMT HT,Boeing
CMT,CMT C&M,Bell Canada
CMT,CMT HT,Citrix
CMT,CMT HT,Softbank
CMT,CMT C&M,TELECOM ITALIA
CMT,CMT C&M,Telus 
CMT,CMT HT,Airbus Group
CMT,CMT HT,Apple
CMT,CMT HT,Qualcomm
CMT,CMT HT,Hewlett Packard Enterprise
CMT,CMT HT,IBM
CMT,CMT HT,Google
CMT,CMT HT,Facebook
CMT,CMT HT,Samsung Electronics
CMT,CMT HT,Intel
CMT,CMT HT,Lenovo
CMT,CMT HT,Microsoft
CMT,CMT HT,Nokia
CMT,CMT HT,Sony 
